farmer_id,application_year,district,land_area_acres,crop_type,pm_kisan_status,historical_repayment_score,irrigation_type,land_ownership,soil_type,sales_channel,annual_income_inr,liability_ratio_pct,rainfall_deviation_pct,ndvi_score,defaulted_in_next_12_months,target_entitlement_score
F00018,2024,Bhadrak,3.72,Rice,Yes,65.61,Irrigated,Owned,Red,FPO,549440.81,6.17,14.12,0.49,0,830.19
F00019,2023,Cuttack,16.8,Wheat,Yes,68.29,Rainfed,Tenant,Laterite,Local Trader,415980.97,28.67,-0.17,0.753,0,912.14
F00020,2022,Balasore,1.69,Maize,No,80.08,Irrigated,Tenant,Black,FPO,168212.37,14.53,23.88,0.627,0,727.87
F00021,2024,Balasore,11.98,Cotton,Yes,76.23,Irrigated,Owned,Clay Loam,Local Trader,269787.88,12.18,42.38,0.301,0,888.91
F00022,2022,Ganjam,7.88,Cotton,No,93.63,Irrigated,Owned,Alluvial,Local Trader,572396.03,23.47,11.5,0.504,0,785.35
F00023,2023,Cuttack,9.65,Maize,Yes,100,Rainfed,Owned,Laterite,Local Trader,414402.88,36.59,-22.5,0.744,0,942.24
F00024,2024,Balasore,5.29,Cotton,Yes,78.19,Irrigated,Owned,Red,APMC,465929.05,0.75,-25.17,0.634,0,834.13
F00025,2022,Mayurbhanj,5.63,Cotton,Yes,81.52,Rainfed,Owned,Sandy Loam,Local Trader,109915.82,23.71,8.3,0.555,0,828.4
F00026,2022,Cuttack,12.64,Sugarcane,Yes,29.13,Irrigated,Owned,Sandy Loam,FPO,85001.34,8.03,-16.08,0.612,0,757.81
F00027,2023,Bhadrak,14.26,Rice,No,55.58,Rainfed,Owned,Black,Local Trader,598008.77,6.99,14.3,0.501,0,786.39
F00028,2023,Balasore,3.15,Maize,Yes,43.21,Rainfed,Owned,Alluvial,FPO,437001.43,26.68,-12.71,0.35,0,765.87
F00029,2024,Balasore,13.89,Millets,Yes,58.36,Rainfed,Owned,Laterite,Contract Buyer,425956.41,0.19,-3.76,0.526,0,900.24
F00030,2024,Bhadrak,11.97,Soybean,Yes,83.28,Irrigated,Owned,Red,Local Trader,291902.37,18.21,-18.89,0.749,0,936.82
F00031,2022,Balasore,6.23,Maize,Yes,74.5,Irrigated,Owned,Alluvial,Local Trader,355028.47,16.47,4.92,0.667,0,846.7
F00032,2024,Bhadrak,12.69,Soybean,Yes,40.27,Irrigated,Owned,Laterite,Contract Buyer,324303.62,2.35,-11.7,0.754,0,822.21
F00033,2024,Bhadrak,17.8,Soybean,No,56.88,Irrigated,Tenant,Alluvial,APMC,175020.94,28.55,6.45,0.308,1,350.51
F00034,2022,Mayurbhanj,5.97,Millets,No,54.53,Irrigated,Tenant,Red,APMC,631253.0,15.59,-29.17,0.513,0,732.0
F00035,2024,Ganjam,2.05,Maize,Yes,60.61,Rainfed,Owned,Sandy Loam,FPO,618593.13,28.12,-4.18,0.621,1,364.8
F00036,2022,Ganjam,10.32,Sugarcane,No,88.97,Irrigated,Owned,Black,FPO,523765.29,13.85,2.39,0.597,0,784.54
F00037,2022,Bhadrak,5.67,Cotton,Yes,53.22,Rainfed,Owned,Alluvial,Contract Buyer,354437.79,3.7,-16.64,0.577,0,775.01
F00038,2023,Bhadrak,15.23,Rice,Yes,89.83,Irrigated,Owned,Red,Contract Buyer,601849.18,14.92,19.36,0.368,0,961.72
F00039,2022,Ganjam,9.57,Maize,Yes,60.43,Rainfed,Owned,Red,APMC,479507.88,30.78,10.28,0.585,0,839.65
F00040,2022,Mayurbhanj,4.5,Soybean,Yes,80.52,Irrigated,Owned,Alluvial,Local Trader,587914.5,31.78,2.37,0.26,0,837.3
F00041,2023,Mayurbhanj,2.48,Millets,Yes,64.38,Irrigated,Tenant,Laterite,Contract Buyer,591867.21,13.32,15.97,0.553,0,825.91
F00042,2022,Puri,16.27,Millets,Yes,44.2,Irrigated,Owned,Laterite,Contract Buyer,378602.62,36.94,-12.45,0.75,0,853.08
F00043,2022,Mayurbhanj,3.03,Wheat,Yes,57.87,Rainfed,Owned,Laterite,APMC,461705.16,0.11,5.99,0.425,0,804.11
F00044,2022,Puri,1.06,Rice,Yes,56.41,Rainfed,Tenant,Clay Loam,FPO,401262.29,16.79,-22.94,0.528,1,346.96
F00045,2023,Balasore,7.14,Rice,Yes,79.27,Irrigated,Owned,Black,APMC,314167.7,15.83,5.21,0.52,0,881.68
F00046,2022,Balasore,15.24,Rice,Yes,56.63,Rainfed,Tenant,Alluvial,Local Trader,550737.42,20.85,-12.28,0.599,0,863.44
F00047,2024,Ganjam,16.04,Sugarcane,Yes,82.4,Irrigated,Owned,Alluvial,Contract Buyer,92457.12,16.37,32.42,0.497,0,884.36
F00048,2024,Bhadrak,2.97,Soybean,Yes,66.02,Rainfed,Owned,Clay Loam,Local Trader,604559.92,21.43,19.67,0.625,0,812.5
F00049,2024,Bhadrak,5.98,Maize,No,72.17,Irrigated,Tenant,Sandy Loam,Local Trader,261772.54,5.16,4.33,0.659,0,770.4
F00050,2022,Cuttack,17.24,Millets,Yes,60.93,Rainfed,Owned,Clay Loam,Contract Buyer,563180.38,9.23,-21.85,0.353,0,904.77
F00051,2022,Cuttack,10.72,Maize,Yes,92.17,Irrigated,Owned,Red,Local Trader,133095.2,38.96,-31.65,0.609,0,919.28
F00052,2023,Puri,13.95,Rice,Yes,48.52,Irrigated,Owned,Laterite,Contract Buyer,328487.21,15.84,26.64,0.514,0,865.45
F00053,2023,Puri,8.73,Cotton,Yes,36.27,Rainfed,Owned,Laterite,APMC,641632.99,1.46,-15.96,0.502,0,768.4
F00054,2023,Mayurbhanj,6.32,Soybean,Yes,67.39,Irrigated,Owned,Clay Loam,APMC,148289.98,6.52,11.15,0.437,0,840.61
F00055,2024,Mayurbhanj,6.47,Millets,Yes,90.74,Rainfed,Owned,Alluvial,FPO,170129.78,12.01,11.18,0.43,0,922.67
F00056,2022,Cuttack,7.1,Millets,No,61.39,Rainfed,Tenant,Laterite,FPO,631287.68,17.54,-25.56,0.494,0,765.25
F00057,2023,Cuttack,12.05,Millets,No,50.65,Rainfed,Tenant,Sandy Loam,Local Trader,552176.6,28.6,-46.44,0.479,0,789.41
F00058,2022,Balasore,17.97,Maize,No,69.43,Rainfed,Tenant,Red,Contract Buyer,521460.26,26.62,-38.94,0.575,0,798.24
F00059,2024,Balasore,3.06,Soybean,Yes,92.59,Rainfed,Tenant,Black,Local Trader,510006.8,15.64,-11.58,0.526,0,876.22
F00060,2022,Ganjam,11.54,Millets,No,72.25,Irrigated,Owned,Red,APMC,308509.76,14.87,23.89,0.485,0,815.34
F00061,2022,Cuttack,17.08,Sugarcane,Yes,89.56,Irrigated,Owned,Clay Loam,APMC,335244.27,16.47,-2.44,0.543,0,890.79
F00062,2022,Bhadrak,15.42,Soybean,Yes,64.78,Rainfed,Owned,Laterite,Contract Buyer,494449.92,29.44,-16.89,0.667,0,873.23
F00063,2023,Balasore,3.57,Millets,Yes,61.1,Irrigated,Owned,Black,Local Trader,633996.58,17.83,-30.05,0.748,0,819.83
F00064,2022,Bhadrak,1.68,Soybean,No,40.15,Rainfed,Owned,Clay Loam,FPO,294689.37,4.84,1.78,0.629,0,639.66
F00065,2024,Bhadrak,3.05,Cotton,Yes,77.93,Rainfed,Owned,Laterite,Contract Buyer,425534.56,2.85,4.22,0.601,0,817.75
F00066,2024,Mayurbhanj,9.92,Wheat,Yes,65.29,Rainfed,Owned,Alluvial,Local Trader,239026.77,33.31,-8.47,0.5,0,891.05
F00067,2024,Mayurbhanj,5.67,Soybean,Yes,55.95,Rainfed,Owned,Black,APMC,561043.11,37.98,-0.69,0.446,0,814.22
F00068,2022,Ganjam,5.15,Millets,No,52.18,Irrigated,Tenant,Sandy Loam,APMC,126173.5,31.02,-8.88,0.481,0,719.17
F00069,2023,Balasore,1.44,Rice,Yes,62.95,Irrigated,Owned,Clay Loam,FPO,377451.62,4.28,-28.12,0.334,0,809.39
F00070,2022,Balasore,10.1,Soybean,Yes,50.61,Irrigated,Owned,Sandy Loam,FPO,485033.3,23.85,8.27,0.414,0,818.16
F00071,2024,Puri,2.93,Rice,Yes,93.77,Irrigated,Owned,Clay Loam,APMC,355049.11,15.28,-10.33,0.54,0,882.32
F00072,2022,Balasore,7.26,Millets,Yes,30.74,Irrigated,Owned,Laterite,FPO,609440.3,24.72,19.45,0.642,1,355.65
F00073,2024,Puri,17.46,Cotton,Yes,45.38,Rainfed,Owned,Red,Local Trader,138395.11,24.33,-19.12,0.527,0,817.97
F00074,2023,Bhadrak,12.55,Cotton,No,89.58,Rainfed,Owned,Red,Local Trader,184505.65,11.18,16.7,0.564,0,824.43
F00075,2024,Bhadrak,8.16,Cotton,Yes,77.65,Irrigated,Owned,Clay Loam,Local Trader,465736.24,10.42,18.42,0.592,0,860.88
F00076,2024,Balasore,11.07,Millets,Yes,96.15,Irrigated,Tenant,Clay Loam,Contract Buyer,272085.74,21.18,25.26,0.397,0,977.79
F00077,2022,Cuttack,13.69,Maize,Yes,85.77,Irrigated,Owned,Laterite,Contract Buyer,236026.11,14.28,9.2,0.639,0,920.43
F00078,2022,Ganjam,9.99,Soybean,No,38.58,Rainfed,Owned,Sandy Loam,APMC,291481.61,41.16,15.42,0.567,1,278.4
F00079,2022,Cuttack,1.82,Wheat,No,80.37,Irrigated,Owned,Laterite,FPO,204597.11,22.51,-2.47,0.376,0,752.22
F00080,2024,Balasore,16.49,Rice,No,54.26,Rainfed,Tenant,Black,Contract Buyer,292165.14,41.09,-11.48,0.529,0,784.74
F00081,2024,Bhadrak,15.67,Soybean,Yes,55.09,Irrigated,Owned,Red,Local Trader,261936.96,36.01,-8.02,0.648,0,860.56
F00082,2022,Balasore,11.89,Sugarcane,Yes,57.73,Irrigated,Tenant,Red,APMC,106416.77,10.12,27.36,0.621,0,826.32
F00083,2022,Cuttack,12.35,Rice,No,81.06,Irrigated,Owned,Clay Loam,Local Trader,98402.77,34.59,-22.31,0.643,0,839.36
F00084,2022,Balasore,10.57,Wheat,Yes,48.86,Rainfed,Owned,Alluvial,APMC,451833.84,36.78,7.9,0.632,0,847.91
F00085,2022,Bhadrak,4.16,Maize,Yes,66.69,Rainfed,Tenant,Alluvial,Contract Buyer,595292.54,36.61,25.76,0.503,0,813.41
F00086,2023,Balasore,8.84,Rice,Yes,61.8,Irrigated,Tenant,Clay Loam,Local Trader,168554.04,11.12,10.45,0.602,0,862.31
F00087,2022,Bhadrak,1.32,Cotton,No,41.48,Rainfed,Owned,Clay Loam,Contract Buyer,377993.4,39.79,-6.3,0.459,1,177.31
F00088,2023,Puri,1.88,Rice,No,80.38,Rainfed,Owned,Laterite,Contract Buyer,458543.27,24.36,-3.53,0.478,0,759.44
F00089,2022,Cuttack,6.27,Maize,Yes,63.72,Irrigated,Owned,Sandy Loam,Local Trader,532052.9,23.92,15.06,0.629,0,829.36
F00090,2022,Bhadrak,3.25,Sugarcane,Yes,96.66,Rainfed,Owned,Sandy Loam,Local Trader,312294.31,27.1,-3.41,0.579,0,829.26
F00091,2023,Ganjam,17.9,Soybean,Yes,53.19,Rainfed,Tenant,Laterite,Contract Buyer,228119.35,7.18,-5.15,0.392,0,859.1
F00092,2024,Mayurbhanj,4.24,Sugarcane,Yes,75.62,Rainfed,Owned,Black,APMC,405562.48,41.88,-7.13,0.748,0,797.33
F00093,2022,Ganjam,10.19,Sugarcane,Yes,80.65,Rainfed,Owned,Alluvial,APMC,415323.86,31.48,6.29,0.734,0,850.03
F00094,2022,Ganjam,12.46,Rice,Yes,74.28,Irrigated,Owned,Alluvial,FPO,449189.49,35.91,3.74,0.63,0,924.98
F00095,2024,Ganjam,13.84,Maize,Yes,81.61,Irrigated,Owned,Clay Loam,APMC,353742.23,20.83,10.28,0.502,0,926.4
F00096,2023,Puri,3.67,Millets,No,77.97,Rainfed,Tenant,Alluvial,FPO,609595.7,0.75,1.8,0.596,0,761.09
F00097,2023,Puri,8.59,Millets,No,76.11,Rainfed,Tenant,Alluvial,APMC,381479.21,1.41,-0.65,0.487,0,809.31
F00098,2023,Balasore,3.45,Wheat,No,66.2,Rainfed,Owned,Sandy Loam,APMC,356943.19,4.96,-3.69,0.462,0,739.94
F00099,2022,Ganjam,1.9,Millets,Yes,43.98,Irrigated,Owned,Clay Loam,Contract Buyer,413661.31,3.1,-18.89,0.245,0,767.09
F00100,2022,Ganjam,4.33,Maize,No,82.04,Irrigated,Tenant,Laterite,FPO,242891.88,11.25,-8.21,0.437,0,749.07
F00101,2024,Cuttack,1.95,Cotton,No,45.6,Rainfed,Owned,Black,Contract Buyer,228005.29,34.3,-23.19,0.605,0,641.57
F00102,2024,Puri,8.18,Rice,Yes,60.64,Rainfed,Tenant,Red,Contract Buyer,254753.63,31.81,14.71,0.539,0,865.79
F00103,2022,Bhadrak,10.63,Millets,No,64.88,Rainfed,Tenant,Red,Local Trader,414793.47,14.98,34.8,0.509,0,800.22
F00104,2022,Cuttack,2.13,Soybean,Yes,74.9,Rainfed,Owned,Red,Contract Buyer,206146.58,29.88,19.89,0.476,0,805.2
F00105,2024,Cuttack,10.54,Cotton,No,26.28,Rainfed,Tenant,Red,APMC,613633.03,32.81,20.09,0.457,0,675.51
F00106,2022,Mayurbhanj,5.86,Soybean,Yes,74.44,Irrigated,Owned,Laterite,FPO,277401.09,19.53,6.19,0.563,0,844.08
F00107,2022,Cuttack,15.83,Rice,Yes,98.4,Rainfed,Tenant,Red,Local Trader,596093.16,28.41,7.92,0.702,0,967.73
F00108,2022,Balasore,4.73,Maize,No,92.58,Rainfed,Tenant,Sandy Loam,FPO,110883.04,2.59,2.88,0.733,0,793.84
F00109,2024,Cuttack,11.03,Sugarcane,Yes,88.62,Rainfed,Owned,Alluvial,APMC,147427.78,39.79,-4.58,0.61,0,900.92
F00110,2024,Cuttack,10.92,Wheat,No,87.64,Rainfed,Tenant,Alluvial,APMC,414881.98,5.96,-19.06,0.516,0,858.65
F00111,2023,Cuttack,14.08,Millets,Yes,100,Rainfed,Owned,Alluvial,Local Trader,581597.56,31.9,4.41,0.461,0,980
F00112,2022,Mayurbhanj,11.96,Wheat,Yes,97.14,Irrigated,Owned,Laterite,Contract Buyer,244994.25,19.46,16.86,0.559,0,974.98
F00113,2023,Ganjam,6.92,Rice,Yes,42.71,Irrigated,Owned,Clay Loam,FPO,385884.78,15.22,-30.85,0.514,0,816.32
F00114,2022,Cuttack,9.23,Rice,Yes,62.75,Irrigated,Owned,Clay Loam,Local Trader,586010.77,3.91,-1.75,0.328,0,863.06
F00115,2022,Balasore,7.36,Sugarcane,Yes,50.93,Irrigated,Owned,Alluvial,FPO,257954.88,31.0,14.57,0.575,0,770.37
F00116,2023,Puri,17.26,Cotton,Yes,65.21,Irrigated,Owned,Laterite,Local Trader,535686.0,40.92,-18.18,0.777,0,857.37
F00117,2022,Cuttack,15.22,Wheat,Yes,90.17,Rainfed,Owned,Clay Loam,FPO,375967.68,7.22,-5.11,0.486,0,948.31
F00118,2024,Balasore,0.91,Wheat,Yes,39.26,Irrigated,Owned,Red,APMC,82159.67,41.03,-6.78,0.612,0,755.99
F00119,2023,Puri,6.06,Rice,Yes,45.11,Irrigated,Owned,Black,Contract Buyer,241340.7,36.05,-0.14,0.689,0,797.13
F00120,2022,Puri,13.29,Rice,No,56.55,Irrigated,Owned,Laterite,Local Trader,583916.52,27.13,20.02,0.45,1,356.5
F00121,2022,Balasore,7.78,Sugarcane,Yes,59.15,Irrigated,Owned,Sandy Loam,FPO,607568.36,37.09,8.68,0.534,1,357.84
F00122,2024,Bhadrak,8.21,Maize,Yes,77.08,Rainfed,Tenant,Red,FPO,570181.52,36.7,-21.54,0.645,0,895.8
F00123,2023,Bhadrak,8.45,Maize,Yes,46.14,Irrigated,Owned,Sandy Loam,Local Trader,567570.67,37.26,-11.52,0.513,0,817.08
F00124,2024,Balasore,8.54,Millets,Yes,80.42,Rainfed,Tenant,Alluvial,Contract Buyer,612796.15,16.06,2.92,0.559,0,909.62
F00125,2022,Bhadrak,7.2,Rice,Yes,72.94,Irrigated,Owned,Alluvial,FPO,159209.53,35.45,10.36,0.465,0,860.45
F00126,2022,Balasore,6.31,Rice,No,48.78,Rainfed,Owned,Alluvial,APMC,618175.29,0.25,21.82,0.486,0,709.4
F00127,2024,Mayurbhanj,0.62,Wheat,Yes,57.34,Rainfed,Owned,Clay Loam,FPO,139599.3,38.08,13.63,0.591,0,792.25
F00128,2023,Puri,0.74,Millets,Yes,55.65,Rainfed,Owned,Sandy Loam,APMC,182194.87,27.46,-4.25,0.584,1,358.89
F00129,2022,Bhadrak,12.69,Soybean,Yes,68.48,Rainfed,Owned,Red,Local Trader,250128.22,33.49,36.81,0.4,0,886.19
F00130,2022,Balasore,12.35,Cotton,Yes,86.21,Irrigated,Owned,Alluvial,Contract Buyer,391079.1,10.78,-0.14,0.672,0,904.79
F00131,2022,Puri,2.95,Rice,No,67.0,Rainfed,Tenant,Red,FPO,541015.31,34.21,-1.26,0.539,0,723.21
F00132,2022,Cuttack,0.52,Sugarcane,Yes,64.95,Irrigated,Owned,Clay Loam,Local Trader,339866.4,37.9,-10.01,0.401,0,736.06
F00133,2022,Puri,17.9,Maize,No,73.51,Irrigated,Tenant,Alluvial,APMC,205380.55,34.83,-24.27,0.506,0,807.76
F00134,2023,Mayurbhanj,13.53,Sugarcane,Yes,100,Irrigated,Tenant,Sandy Loam,Local Trader,615542.62,3.57,6.46,0.8,0,920.4
F00135,2024,Bhadrak,17.03,Cotton,No,63.67,Irrigated,Tenant,Black,Local Trader,346088.56,39.92,-16.65,0.553,0,774.8
F00136,2022,Balasore,13.82,Wheat,No,82.23,Irrigated,Owned,Sandy Loam,Contract Buyer,618675.41,10.14,-1.85,0.583,0,847.28
F00137,2023,Cuttack,15.55,Soybean,No,56.97,Rainfed,Owned,Red,FPO,452978.13,2.1,24.48,0.302,1,338.78
F00138,2022,Mayurbhanj,1.93,Soybean,No,57.27,Irrigated,Owned,Red,Contract Buyer,516723.0,37.04,10.03,0.592,0,680.25
F00139,2024,Bhadrak,5.25,Soybean,No,91.01,Irrigated,Owned,Alluvial,APMC,347357.93,9.91,3.44,0.692,0,802.4
F00140,2022,Mayurbhanj,10.32,Soybean,Yes,77.21,Irrigated,Owned,Clay Loam,APMC,176453.62,10.2,10.98,0.684,1,464.54
F00141,2022,Balasore,1.53,Soybean,No,76.61,Rainfed,Tenant,Sandy Loam,APMC,253134.57,3.69,17.68,0.744,0,716.58
F00142,2024,Mayurbhanj,2.27,Rice,Yes,66.62,Irrigated,Owned,Red,Contract Buyer,435243.7,37.35,10.54,0.34,0,819.5
F00143,2023,Cuttack,17.09,Maize,Yes,86.0,Rainfed,Owned,Clay Loam,Local Trader,102362.38,20.03,-44.01,0.385,0,936.12
F00144,2022,Balasore,3.18,Maize,Yes,51.43,Irrigated,Tenant,Laterite,Contract Buyer,353672.52,21.73,18.6,0.708,1,344.34
F00145,2024,Ganjam,14.58,Millets,No,74.45,Irrigated,Owned,Red,APMC,302435.18,5.62,-6.18,0.528,0,846.17
F00146,2023,Mayurbhanj,9.93,Rice,Yes,54.3,Rainfed,Owned,Sandy Loam,APMC,312021.65,24.77,23.77,0.706,0,850.75
F00147,2024,Balasore,4.12,Millets,Yes,83.31,Rainfed,Tenant,Laterite,Contract Buyer,514998.33,30.34,-4.79,0.359,1,465.6
F00148,2022,Puri,10.33,Maize,Yes,47.56,Rainfed,Owned,Sandy Loam,FPO,299929.58,37.93,-13.33,0.573,0,824.05
F00149,2022,Balasore,3.92,Soybean,Yes,83.85,Rainfed,Owned,Clay Loam,APMC,494405.28,16.35,7.11,0.474,0,841.22
F00150,2023,Balasore,6.98,Maize,Yes,81.02,Irrigated,Owned,Sandy Loam,Contract Buyer,510275.31,2.74,15.95,0.676,0,875.25
F00151,2022,Mayurbhanj,11.56,Maize,Yes,86.25,Rainfed,Owned,Red,APMC,638708.77,30.87,16.83,0.589,0,921.56
F00152,2022,Mayurbhanj,15.71,Wheat,No,63.25,Rainfed,Tenant,Alluvial,APMC,114978.21,23.43,34.19,0.62,0,793.15
F00153,2023,Bhadrak,15.11,Maize,Yes,96.42,Rainfed,Owned,Sandy Loam,Contract Buyer,421858.78,11.82,-12.33,0.547,0,957.64
F00154,2022,Mayurbhanj,2.28,Rice,No,66.78,Rainfed,Owned,Alluvial,Local Trader,202363.07,31.08,-3.71,0.515,1,287.87
F00155,2023,Balasore,12.69,Cotton,Yes,100,Rainfed,Owned,Clay Loam,Contract Buyer,290632.81,23.72,-10.35,0.689,0,928.19
F00156,2022,Bhadrak,10.48,Soybean,No,79.96,Irrigated,Owned,Sandy Loam,APMC,572291.74,27.43,10.89,0.561,0,800.52
F00157,2023,Mayurbhanj,13.06,Soybean,Yes,100,Irrigated,Owned,Clay Loam,Local Trader,256727.67,8.07,3.47,0.619,0,963.99
F00158,2022,Cuttack,13.33,Cotton,No,94.45,Rainfed,Tenant,Clay Loam,FPO,274715.37,30.49,-14.86,0.484,0,824.72
F00159,2024,Balasore,1.24,Rice,Yes,78.81,Irrigated,Tenant,Sandy Loam,Local Trader,486062.71,19.62,19.99,0.408,0,839.1
F00160,2023,Balasore,1.72,Maize,No,75.39,Rainfed,Tenant,Clay Loam,FPO,592723.6,25.61,-24.62,0.513,0,722.79
F00161,2023,Ganjam,14.92,Soybean,Yes,53.01,Irrigated,Owned,Sandy Loam,FPO,216139.5,2.23,6.16,0.547,0,863.43
F00162,2024,Puri,4.49,Rice,Yes,63.13,Rainfed,Owned,Alluvial,APMC,515256.62,27.18,1.56,0.734,0,839.86
F00163,2023,Puri,5.7,Rice,Yes,90.2,Irrigated,Tenant,Alluvial,FPO,421536.16,6.29,-23.24,0.61,0,904.81
F00164,2022,Cuttack,8.25,Wheat,Yes,62.35,Rainfed,Owned,Clay Loam,FPO,397009.49,14.02,5.56,0.424,0,853.26
F00165,2024,Puri,8.49,Soybean,Yes,63.7,Rainfed,Tenant,Clay Loam,Local Trader,366339.7,33.75,-19.66,0.534,0,860.61
F00166,2024,Ganjam,5.46,Millets,Yes,57.35,Rainfed,Owned,Sandy Loam,APMC,123683.58,32.63,7.61,0.491,0,839.71
F00167,2024,Mayurbhanj,14.49,Soybean,Yes,75.74,Rainfed,Tenant,Laterite,Contract Buyer,86658.14,15.2,-11.19,0.826,0,914.3
F00168,2022,Mayurbhanj,15.94,Rice,No,68.17,Rainfed,Tenant,Laterite,APMC,188508.32,19.62,18.7,0.563,0,805.36
F00169,2022,Mayurbhanj,11.07,Rice,No,61.29,Rainfed,Owned,Alluvial,FPO,231371.57,5.28,-37.9,0.464,1,344.05
F00170,2022,Mayurbhanj,10.93,Cotton,Yes,39.97,Rainfed,Owned,Alluvial,FPO,470614.3,38.5,3.9,0.387,0,793.8
F00171,2023,Puri,13.8,Soybean,Yes,56.04,Rainfed,Tenant,Clay Loam,APMC,546462.33,40.57,16.85,0.536,0,866.65
F00172,2024,Mayurbhanj,16.74,Maize,Yes,72.93,Irrigated,Owned,Black,FPO,112476.49,6.54,-13.63,0.623,0,913.74
F00173,2023,Balasore,11.24,Rice,Yes,73.53,Irrigated,Owned,Laterite,Contract Buyer,308147.05,23.3,10.1,0.681,0,908.87
F00174,2022,Balasore,11.98,Rice,No,52.53,Irrigated,Tenant,Sandy Loam,APMC,168530.26,19.2,1.49,0.556,1,342.94
F00175,2022,Balasore,2.9,Sugarcane,No,41.37,Irrigated,Owned,Clay Loam,Contract Buyer,331409.67,30.48,6.52,0.563,1,180.25
F00176,2023,Bhadrak,7.66,Sugarcane,Yes,25.81,Irrigated,Owned,Black,Local Trader,400822.16,35.78,33.0,0.402,0,721.43
F00177,2022,Balasore,6.82,Cotton,No,90.42,Irrigated,Tenant,Sandy Loam,FPO,564662.65,33.22,13.96,0.665,0,770.95
F00178,2023,Puri,3.89,Maize,Yes,62.99,Irrigated,Owned,Laterite,Contract Buyer,290046.63,22.38,7.17,0.519,0,808.92
F00179,2023,Bhadrak,16.79,Maize,Yes,93.83,Rainfed,Owned,Clay Loam,APMC,223370.61,24.54,35.15,0.297,0,958.71
F00180,2024,Mayurbhanj,11.35,Wheat,No,80.14,Rainfed,Owned,Black,Contract Buyer,428106.44,41.79,11.49,0.467,0,847.08
F00181,2024,Puri,9.21,Sugarcane,Yes,76.34,Irrigated,Owned,Clay Loam,FPO,491304.8,8.25,5.49,0.433,0,862.76
F00182,2023,Mayurbhanj,13.54,Cotton,No,67.32,Irrigated,Owned,Sandy Loam,Contract Buyer,348739.97,7.04,15.01,0.601,0,768.11
F00183,2024,Cuttack,10.08,Sugarcane,No,96.53,Irrigated,Owned,Clay Loam,Contract Buyer,348453.71,18.65,11.58,0.45,0,814.23
F00184,2022,Mayurbhanj,1.4,Maize,Yes,53.83,Irrigated,Tenant,Sandy Loam,APMC,442207.76,8.56,-4.28,0.512,0,760.17
F00185,2023,Balasore,16.92,Rice,No,41.66,Irrigated,Owned,Laterite,Local Trader,246696.59,32.01,12.31,0.73,0,760.1
